gene,environment,solution,haploinsufficiency,flux
YDL052C,amm,optimal,-0.06514,0.00741
YDR481C,amm,optimal,-0.046086,0.0
YDR232W,amm,optimal,0.011419,0.0
YIR028W,amm,optimal,0.010498,0.0
YNR058W,amm,optimal,0.011838,0.0
YER055C,amm,optimal,0.013176,0.01989
YCL004W,amm,optimal,0.009452,0.0
YGR202C,amm,optimal,-0.020144,0.0
YPR060C,amm,optimal,0.013475,0.07077
YGL148W,amm,optimal,-0.014887,0.07929
YDR044W,amm,optimal,0.013139,0.0
YCR005C,amm,optimal,-0.021247,0.0
YFR055W,amm,optimal,-0.021964,0.0
YGR155W,amm,optimal,0.006668,0.0
YNR057C,amm,optimal,-0.063747,0.0
YLR172C,amm,optimal,0.010718,0.0
YOL096C,amm,optimal,0.015336,0.0
YNR043W,amm,optimal,-0.050574,0.00396
YJR057W,amm,optimal,-0.061078,0.0
YLR372W,amm,optimal,0.025547,0.0
YBL013W,amm,optimal,-0.034528,0.0
YIL155C,amm,optimal,0.008323,0.31425
YNL241C,amm,optimal,-0.010003,499.353
YBR020W,amm,optimal,-0.010938,0.0
YBR263W,amm,optimal,0.014261,1000.0
YPR035W,amm,optimal,0.015836,0.24525
YDR300C,amm,optimal,-0.074152,0.04941
YMR250W,amm,optimal,0.007272,0.0
YDL215C,amm,optimal,-0.040676,997.047
YDL171C,amm,optimal,0.011036,0.0
YOL033W,amm,optimal,0.01928,0.0
YHL032C,amm,optimal,0.012743,0.0
YMR217W,amm,optimal,0.01076,0.01452
YLR299W,amm,optimal,0.021323,0.0
YPL040C,amm,optimal,0.015522,0.0
YHR007C,amm,optimal,-0.035729,0.00066
YNL073W,amm,optimal,0.010286,0.0
YDL055C,amm,optimal,0.01175,0.24237
YGR264C,amm,optimal,0.012057,0.0
YGR171C,amm,optimal,0.015097,0.0
YCR012W,amm,optimal,-0.014081,-71.0924
YER053C,amm,optimal,0.016574,-1000.0
YMR220W,amm,optimal,0.009358,0.00396
YDR531W,amm,optimal,-0.022378,0.0
YBR166C,amm,optimal,-0.011048,0.0306
YGR061C,amm,optimal,0.020029,0.0294
YIL020C,amm,optimal,-0.008478,0.01989
YNL169C,amm,optimal,0.011039,0.00315
YOL143C,amm,optimal,0.012435,0.0
YDR050C,amm,optimal,-0.014223,-47.6457
YPR026W,amm,optimal,-0.050976,0.0
YGR185C,amm,optimal,0.009583,0.0
YDR047W,amm,optimal,0.021891,0.0
YBR021W,amm,optimal,-0.063891,0.0
YJR133W,amm,optimal,0.011261,0.0
YDL052C,amm,suboptimal,-0.06514,0.00741
YDR481C,amm,suboptimal,-0.046086,0.0
YDR232W,amm,suboptimal,0.011419,0.0
YIR028W,amm,suboptimal,0.010498,0.0
YNR058W,amm,suboptimal,0.011838,0.0
YER055C,amm,suboptimal,0.013176,0.01989
YCL004W,amm,suboptimal,0.009452,0.0
YGR202C,amm,suboptimal,-0.020144,0.0
YPR060C,amm,suboptimal,0.013475,0.07077
YGL148W,amm,suboptimal,-0.014887,0.07929
YDR044W,amm,suboptimal,0.013139,0.0
YCR005C,amm,suboptimal,-0.021247,0.0
YFR055W,amm,suboptimal,-0.021964,0.0
YGR155W,amm,suboptimal,0.006668,0.0
YNR057C,amm,suboptimal,-0.063747,0.0
YLR172C,amm,suboptimal,0.010718,0.0
YOL096C,amm,suboptimal,0.015336,0.0
YNR043W,amm,suboptimal,-0.050574,0.00396
YJR057W,amm,suboptimal,-0.061078,0.0
YLR372W,amm,suboptimal,0.025547,0.0
YBL013W,amm,suboptimal,-0.034528,0.0
YIL155C,amm,suboptimal,0.008323,0.0
YNL241C,amm,suboptimal,-0.010003,0.0
YBR020W,amm,suboptimal,-0.010938,0.0
YBR263W,amm,suboptimal,0.014261,772.717
YPR035W,amm,suboptimal,0.015836,546.18
YDR300C,amm,suboptimal,-0.074152,0.0
YMR250W,amm,suboptimal,0.007272,0.0
YDL215C,amm,suboptimal,-0.040676,0.0
YDL171C,amm,suboptimal,0.011036,545.935
YOL033W,amm,suboptimal,0.01928,0.0
YHL032C,amm,suboptimal,0.012743,0.0
YMR217W,amm,suboptimal,0.01076,0.01452
YLR299W,amm,suboptimal,0.021323,0.0
YPL040C,amm,suboptimal,0.015522,0.0
YHR007C,amm,suboptimal,-0.035729,0.00066
YNL073W,amm,suboptimal,0.010286,0.0
YDL055C,amm,suboptimal,0.01175,0.24237
YGR264C,amm,suboptimal,0.012057,0.0
YGR171C,amm,suboptimal,0.015097,0.0
YCR012W,amm,suboptimal,-0.014081,-1000.0
YER053C,amm,suboptimal,0.016574,-999.878
YMR220W,amm,suboptimal,0.009358,0.00396
YDR531W,amm,suboptimal,-0.022378,-1.38778e-17
YBR166C,amm,suboptimal,-0.011048,0.0306
YGR061C,amm,suboptimal,0.020029,0.0294
YIL020C,amm,suboptimal,-0.008478,0.01989
YNL169C,amm,suboptimal,0.011039,0.00315
YOL143C,amm,suboptimal,0.012435,0.0
YDR050C,amm,suboptimal,-0.014223,500.033
YPR026W,amm,suboptimal,-0.050976,0.0
YGR185C,amm,suboptimal,0.009583,0.0
YDR047W,amm,suboptimal,0.021891,0.0
YBR021W,amm,suboptimal,-0.063891,0.0
YJR133W,amm,suboptimal,0.011261,0.0
YBR265W,glc,optimal,0.02147,0.0
YJR025C,glc,optimal,-0.013804,0.0
YNR033W,glc,optimal,-0.027643,0.0
YDL052C,glc,optimal,-0.049125,0.00741
YDR481C,glc,optimal,-0.047088,0.0
YDR232W,glc,optimal,0.023667,0.0
YNR058W,glc,optimal,0.012482,0.0
YCR024C,glc,optimal,-0.050671,0.0
YGL012W,glc,optimal,-0.036634,0.00021
YGR088W,glc,optimal,0.015192,0.0
YPR060C,glc,optimal,0.0276,0.07077
YGL148W,glc,optimal,-0.01935,0.07929
YDR044W,glc,optimal,0.024577,0.0
YCR005C,glc,optimal,-0.0288,0.0
YAL012W,glc,optimal,0.017396,1000.0
YGR155W,glc,optimal,0.019845,0.0
YNR057C,glc,optimal,-0.035036,0.0
YNR043W,glc,optimal,-0.038795,0.00396
YJR057W,glc,optimal,-0.02899,0.0
YLR372W,glc,optimal,0.051725,0.0
YJR051W,glc,optimal,-0.040295,0.0
YDL022W,glc,optimal,0.025978,0.00741
YBR020W,glc,optimal,-0.011287,0.0
YBR263W,glc,optimal,0.036199,997.801
YDR300C,glc,optimal,-0.083667,0.04941
YMR250W,glc,optimal,-0.000864,0.0
YDL215C,glc,optimal,-0.048022,0.612462
YHL032C,glc,optimal,0.018826,0.0
YLR299W,glc,optimal,0.032588,0.0
YGR267C,glc,optimal,0.026401,0.0
YDL205C,glc,optimal,0.019007,0.0
YNL277W,glc,optimal,0.016517,0.01521
YPL040C,glc,optimal,0.028787,0.0
YBL098W,glc,optimal,0.01368,0.0
YPR006C,glc,optimal,-0.01557,0.0
YOL126C,glc,optimal,-0.017959,2.8205
YHR046C,glc,optimal,0.019372,0.00159
YCR012W,glc,optimal,-0.011305,-4.40048
YPL268W,glc,optimal,0.018199,0.0
YER053C,glc,optimal,0.01863,-985.991
YMR220W,glc,optimal,0.015913,0.00396
YCR028C,glc,optimal,-0.062896,0.0
YIL020C,glc,optimal,-0.018295,0.01989
YNL169C,glc,optimal,0.012446,0.00315
YOL143C,glc,optimal,0.014662,0.0
YGR175C,glc,optimal,0.014398,0.00066
YIL162W,glc,optimal,-0.022648,0.0
YEL046C,glc,optimal,0.020257,0.11523
YDR050C,glc,optimal,-0.022823,2.23373
YPR026W,glc,optimal,-0.038541,0.0
YDR047W,glc,optimal,0.02076,0.0
YBR021W,glc,optimal,-0.070071,0.0
YBR265W,glc,suboptimal,0.02147,0.0
YJR025C,glc,suboptimal,-0.013804,0.0
YNR033W,glc,suboptimal,-0.027643,1.13687e-13
YDL052C,glc,suboptimal,-0.049125,0.00741
YDR481C,glc,suboptimal,-0.047088,0.0
YDR232W,glc,suboptimal,0.023667,0.0
YNR058W,glc,suboptimal,0.012482,0.0
YCR024C,glc,suboptimal,-0.050671,0.0
YGL012W,glc,suboptimal,-0.036634,0.00021
YGR088W,glc,suboptimal,0.015192,1.19875
YPR060C,glc,suboptimal,0.0276,0.07077
YGL148W,glc,suboptimal,-0.01935,0.07929
YDR044W,glc,suboptimal,0.024577,0.0
YCR005C,glc,suboptimal,-0.0288,0.0
YAL012W,glc,suboptimal,0.017396,999.985
YGR155W,glc,suboptimal,0.019845,0.0
YNR057C,glc,suboptimal,-0.035036,0.0
YNR043W,glc,suboptimal,-0.038795,0.00396
YJR057W,glc,suboptimal,-0.02899,0.0
YLR372W,glc,suboptimal,0.051725,0.0
YJR051W,glc,suboptimal,-0.040295,0.0
YDL022W,glc,suboptimal,0.025978,0.0
YBR020W,glc,suboptimal,-0.011287,0.0
YBR263W,glc,suboptimal,0.036199,997.508
YDR300C,glc,suboptimal,-0.083667,0.01917
YMR250W,glc,suboptimal,-0.000864,0.0
YDL215C,glc,suboptimal,-0.048022,0.0
YHL032C,glc,suboptimal,0.018826,0.0
YLR299W,glc,suboptimal,0.032588,0.0
YGR267C,glc,suboptimal,0.026401,1.13687e-13
YDL205C,glc,suboptimal,0.019007,0.0
YNL277W,glc,suboptimal,0.016517,0.0
YPL040C,glc,suboptimal,0.028787,0.0
YBL098W,glc,suboptimal,0.01368,0.0
YPR006C,glc,suboptimal,-0.01557,0.0
YOL126C,glc,suboptimal,-0.017959,-0.45858
YHR046C,glc,suboptimal,0.019372,0.00159
YCR012W,glc,suboptimal,-0.011305,-4.70873
YPL268W,glc,suboptimal,0.018199,0.0
YER053C,glc,suboptimal,0.01863,-983.359
YMR220W,glc,suboptimal,0.015913,0.00396
YCR028C,glc,suboptimal,-0.062896,0.0
YIL020C,glc,suboptimal,-0.018295,0.01989
YNL169C,glc,suboptimal,0.012446,0.00315
YOL143C,glc,suboptimal,0.014662,0.0
YGR175C,glc,suboptimal,0.014398,0.00066
YIL162W,glc,suboptimal,-0.022648,0.0
YEL046C,glc,suboptimal,0.020257,0.13044
YDR050C,glc,suboptimal,-0.022823,2.38785
YPR026W,glc,suboptimal,-0.038541,0.0
YDR047W,glc,suboptimal,0.02076,0.0
YBR021W,glc,suboptimal,-0.070071,0.0
