gene,environment,energy,type,reaction,
YAL012W,EX_nh4(e),respiratory,zero flux,277,
YAL012W,EX_nh4(e),fermentative,at maximum,277,
YAL012W,EX_glc(e),respiratory,zero flux,277,
YAL012W,EX_glc(e),fermentative,zero flux,277,
YAR015W,EX_nh4(e),respiratory,constrained,1053,
YAR015W,EX_nh4(e),fermentative,constrained,1053,
YAR015W,EX_glc(e),respiratory,constrained,1053,
YAR015W,EX_glc(e),fermentative,constrained,1053,
YAR035W,EX_nh4(e),respiratory,zero flux,265,
YAR035W,EX_nh4(e),fermentative,zero flux,265,
YAR035W,EX_glc(e),respiratory,zero flux,265,
YAR035W,EX_glc(e),fermentative,variable,265,
YAR071W,EX_nh4(e),respiratory,zero flux,71,
YAR071W,EX_nh4(e),fermentative,zero flux,71,
YAR071W,EX_glc(e),respiratory,zero flux,71,
YAR071W,EX_glc(e),fermentative,zero flux,71,
YBL013W,EX_nh4(e),respiratory,zero flux,595,
YBL013W,EX_nh4(e),fermentative,zero flux,595,
YBL013W,EX_glc(e),respiratory,zero flux,595,
YBL013W,EX_glc(e),fermentative,zero flux,595,
YBL015W,EX_nh4(e),respiratory,variable,59,
YBL015W,EX_nh4(e),fermentative,variable,59,
YBL015W,EX_glc(e),respiratory,variable,59,
YBL015W,EX_glc(e),fermentative,variable,59,
YBL033C,EX_nh4(e),respiratory,zero flux,707,
YBL033C,EX_nh4(e),fermentative,zero flux,707,
YBL033C,EX_glc(e),respiratory,zero flux,707,
YBL033C,EX_glc(e),fermentative,zero flux,707,
YBL042C,EX_nh4(e),respiratory,zero flux,1250,
YBL042C,EX_nh4(e),fermentative,zero flux,1250,
YBL042C,EX_glc(e),respiratory,zero flux,1250,
YBL042C,EX_glc(e),fermentative,zero flux,1250,
YBL076C,EX_nh4(e),respiratory,zero flux,780,
YBL076C,EX_nh4(e),fermentative,zero flux,780,
YBL076C,EX_glc(e),respiratory,zero flux,780,
YBL076C,EX_glc(e),fermentative,zero flux,780,
YBL098W,EX_nh4(e),respiratory,zero flux,807,
YBL098W,EX_nh4(e),fermentative,zero flux,807,
YBL098W,EX_glc(e),respiratory,zero flux,807,
YBL098W,EX_glc(e),fermentative,zero flux,807,
YBR006W,EX_nh4(e),respiratory,zero flux,1165,
YBR006W,EX_nh4(e),fermentative,zero flux,1165,
YBR006W,EX_glc(e),respiratory,zero flux,1165,
YBR006W,EX_glc(e),fermentative,zero flux,1165,
YBR011C,EX_nh4(e),respiratory,variable,1037,
YBR011C,EX_nh4(e),fermentative,variable,1037,
YBR011C,EX_glc(e),respiratory,constrained,1037,
YBR011C,EX_glc(e),fermentative,constrained,1037,
YBR019C,EX_nh4(e),respiratory,constrained,1233,
YBR019C,EX_nh4(e),fermentative,constrained,1233,
YBR019C,EX_glc(e),respiratory,zero flux,1233,
YBR019C,EX_glc(e),fermentative,constrained,1233,
YBR020W,EX_nh4(e),respiratory,zero flux,633,
YBR020W,EX_nh4(e),fermentative,zero flux,633,
YBR020W,EX_glc(e),respiratory,zero flux,633,
YBR020W,EX_glc(e),fermentative,zero flux,633,
YBR021W,EX_nh4(e),respiratory,zero flux,1243,
YBR021W,EX_nh4(e),fermentative,zero flux,1243,
YBR021W,EX_glc(e),respiratory,zero flux,1243,
YBR021W,EX_glc(e),fermentative,zero flux,1243,
YBR034C,EX_nh4(e),respiratory,zero flux,168,
YBR034C,EX_nh4(e),fermentative,zero flux,168,
YBR034C,EX_glc(e),respiratory,zero flux,168,
YBR034C,EX_glc(e),fermentative,zero flux,168,
YBR132C,EX_nh4(e),respiratory,zero flux,261,
YBR132C,EX_nh4(e),fermentative,zero flux,261,
YBR132C,EX_glc(e),respiratory,zero flux,261,
YBR132C,EX_glc(e),fermentative,zero flux,261,
YBR166C,EX_nh4(e),respiratory,variable,1045,
YBR166C,EX_nh4(e),fermentative,variable,1045,
YBR166C,EX_glc(e),respiratory,variable,1045,
YBR166C,EX_glc(e),fermentative,variable,1045,
YBR176W,EX_nh4(e),respiratory,zero flux,878,
YBR176W,EX_nh4(e),fermentative,zero flux,878,
YBR176W,EX_glc(e),respiratory,zero flux,878,
YBR176W,EX_glc(e),fermentative,zero flux,878,
YBR248C,EX_nh4(e),respiratory,constrained,775,
YBR248C,EX_nh4(e),fermentative,constrained,775,
YBR248C,EX_glc(e),respiratory,constrained,775,
YBR248C,EX_glc(e),fermentative,constrained,775,
YBR252W,EX_nh4(e),respiratory,variable,360,
YBR252W,EX_nh4(e),fermentative,variable,360,
YBR252W,EX_glc(e),respiratory,zero flux,360,
YBR252W,EX_glc(e),fermentative,zero flux,360,
YBR256C,EX_nh4(e),respiratory,zero flux,1109,
YBR256C,EX_nh4(e),fermentative,zero flux,1109,
YBR256C,EX_glc(e),respiratory,zero flux,1109,
YBR256C,EX_glc(e),fermentative,zero flux,1109,
YBR263W,EX_nh4(e),respiratory,variable,657,
YBR263W,EX_nh4(e),fermentative,variable,657,
YBR263W,EX_glc(e),respiratory,variable,657,
YBR263W,EX_glc(e),fermentative,variable,657,
YBR265W,EX_nh4(e),respiratory,zero flux,16,
YBR265W,EX_nh4(e),fermentative,zero flux,16,
YBR265W,EX_glc(e),respiratory,zero flux,16,
YBR265W,EX_glc(e),fermentative,zero flux,16,
YCL004W,EX_nh4(e),respiratory,constrained,222,
YCL004W,EX_nh4(e),fermentative,zero flux,222,
YCL004W,EX_glc(e),respiratory,constrained,222,
YCL004W,EX_glc(e),fermentative,zero flux,222,
YCL018W,EX_nh4(e),respiratory,constrained,797,
YCL018W,EX_nh4(e),fermentative,constrained,797,
YCL018W,EX_glc(e),respiratory,constrained,797,
YCL018W,EX_glc(e),fermentative,constrained,797,
YCR005C,EX_nh4(e),respiratory,zero flux,271,
YCR005C,EX_nh4(e),fermentative,constrained,271,
YCR005C,EX_glc(e),respiratory,constrained,271,
YCR005C,EX_glc(e),fermentative,zero flux,271,
YCR012W,EX_nh4(e),respiratory,variable,1003,
YCR012W,EX_nh4(e),fermentative,variable,1003,
YCR012W,EX_glc(e),respiratory,variable,1003,
YCR012W,EX_glc(e),fermentative,variable,1003,
YCR024C,EX_nh4(e),respiratory,zero flux,174,
YCR024C,EX_nh4(e),fermentative,zero flux,174,
YCR024C,EX_glc(e),respiratory,zero flux,174,
YCR024C,EX_glc(e),fermentative,zero flux,174,
YCR028C,EX_nh4(e),respiratory,zero flux,1034,
YCR028C,EX_nh4(e),fermentative,variable,1034,
YCR028C,EX_glc(e),respiratory,zero flux,1034,
YCR028C,EX_glc(e),fermentative,zero flux,1034,
YCR032W,EX_nh4(e),respiratory,variable,78,
YCR032W,EX_nh4(e),fermentative,variable,78,
YCR032W,EX_glc(e),respiratory,zero flux,78,
YCR032W,EX_glc(e),fermentative,zero flux,78,
YDL022W,EX_nh4(e),respiratory,variable,618,
YDL022W,EX_nh4(e),fermentative,variable,618,
YDL022W,EX_glc(e),respiratory,variable,618,
YDL022W,EX_glc(e),fermentative,variable,618,
YDL045C,EX_nh4(e),respiratory,zero flux,596,
YDL045C,EX_nh4(e),fermentative,zero flux,596,
YDL045C,EX_glc(e),respiratory,zero flux,596,
YDL045C,EX_glc(e),fermentative,zero flux,596,
YDL052C,EX_nh4(e),respiratory,constrained,104,
YDL052C,EX_nh4(e),fermentative,constrained,104,
YDL052C,EX_glc(e),respiratory,constrained,104,
YDL052C,EX_glc(e),fermentative,constrained,104,
YDL055C,EX_nh4(e),respiratory,constrained,833,
YDL055C,EX_nh4(e),fermentative,constrained,833,
YDL055C,EX_glc(e),respiratory,constrained,833,
YDL055C,EX_glc(e),fermentative,constrained,833,
YDL066W,EX_nh4(e),respiratory,zero flux,771,
YDL066W,EX_nh4(e),fermentative,constrained,771,
YDL066W,EX_glc(e),respiratory,variable,771,
YDL066W,EX_glc(e),fermentative,variable,771,
YDL078C,EX_nh4(e),respiratory,constrained,844,
YDL078C,EX_nh4(e),fermentative,constrained,844,
YDL078C,EX_glc(e),respiratory,constrained,844,
YDL078C,EX_glc(e),fermentative,constrained,844,
YDL100C,EX_nh4(e),respiratory,zero flux,341,
YDL100C,EX_nh4(e),fermentative,zero flux,341,
YDL100C,EX_glc(e),respiratory,zero flux,341,
YDL100C,EX_glc(e),fermentative,zero flux,341,
YDL103C,EX_nh4(e),respiratory,zero flux,1232,
YDL103C,EX_nh4(e),fermentative,zero flux,1232,
YDL103C,EX_glc(e),respiratory,zero flux,1232,
YDL103C,EX_glc(e),fermentative,zero flux,1232,
YDL142C,EX_nh4(e),respiratory,zero flux,249,
YDL142C,EX_nh4(e),fermentative,zero flux,249,
YDL142C,EX_glc(e),respiratory,zero flux,249,
YDL142C,EX_glc(e),fermentative,zero flux,249,
YDL171C,EX_nh4(e),respiratory,zero flux,677,
YDL171C,EX_nh4(e),fermentative,zero flux,677,
YDL171C,EX_glc(e),respiratory,zero flux,677,
YDL171C,EX_glc(e),fermentative,variable,677,
YDL174C,EX_nh4(e),respiratory,zero flux,362,
YDL174C,EX_nh4(e),fermentative,zero flux,362,
YDL174C,EX_glc(e),respiratory,zero flux,362,
YDL174C,EX_glc(e),fermentative,zero flux,362,
YDL205C,EX_nh4(e),respiratory,zero flux,750,
YDL205C,EX_nh4(e),fermentative,zero flux,750,
YDL205C,EX_glc(e),respiratory,zero flux,750,
YDL205C,EX_glc(e),fermentative,zero flux,750,
YDL215C,EX_nh4(e),respiratory,zero flux,672,
YDL215C,EX_nh4(e),fermentative,zero flux,672,
YDL215C,EX_glc(e),respiratory,variable,672,
YDL215C,EX_glc(e),fermentative,zero flux,672,
YDR007W,EX_nh4(e),respiratory,constrained,1051,
YDR007W,EX_nh4(e),fermentative,constrained,1051,
YDR007W,EX_glc(e),respiratory,constrained,1051,
YDR007W,EX_glc(e),fermentative,constrained,1051,
YDR037W,EX_nh4(e),respiratory,zero flux,819,
YDR037W,EX_nh4(e),fermentative,zero flux,819,
YDR037W,EX_glc(e),respiratory,zero flux,819,
YDR037W,EX_glc(e),fermentative,zero flux,819,
YDR044W,EX_nh4(e),respiratory,zero flux,258,
YDR044W,EX_nh4(e),fermentative,zero flux,258,
YDR044W,EX_glc(e),respiratory,zero flux,258,
YDR044W,EX_glc(e),fermentative,zero flux,258,
YDR047W,EX_nh4(e),respiratory,zero flux,1241,
YDR047W,EX_nh4(e),fermentative,zero flux,1241,
YDR047W,EX_glc(e),respiratory,zero flux,1241,
YDR047W,EX_glc(e),fermentative,zero flux,1241,
YDR050C,EX_nh4(e),respiratory,variable,1206,
YDR050C,EX_nh4(e),fermentative,variable,1206,
YDR050C,EX_glc(e),respiratory,variable,1206,
YDR050C,EX_glc(e),fermentative,variable,1206,
YDR111C,EX_nh4(e),respiratory,variable,122,
YDR111C,EX_nh4(e),fermentative,constrained,122,
YDR111C,EX_glc(e),respiratory,variable,122,
YDR111C,EX_glc(e),fermentative,constrained,122,
YDR147W,EX_nh4(e),respiratory,zero flux,381,
YDR147W,EX_nh4(e),fermentative,zero flux,381,
YDR147W,EX_glc(e),respiratory,zero flux,381,
YDR147W,EX_glc(e),fermentative,zero flux,381,
YDR158W,EX_nh4(e),respiratory,variable,169,
YDR158W,EX_nh4(e),fermentative,variable,169,
YDR158W,EX_glc(e),respiratory,variable,169,
YDR158W,EX_glc(e),fermentative,variable,169,
YDR232W,EX_nh4(e),respiratory,zero flux,121,
YDR232W,EX_nh4(e),fermentative,zero flux,121,
YDR232W,EX_glc(e),respiratory,zero flux,121,
YDR232W,EX_glc(e),fermentative,zero flux,121,
YDR234W,EX_nh4(e),respiratory,constrained,725,
YDR234W,EX_nh4(e),fermentative,variable,725,
YDR234W,EX_glc(e),respiratory,constrained,725,
YDR234W,EX_glc(e),fermentative,constrained,725,
YDR256C,EX_nh4(e),respiratory,constrained,217,
YDR256C,EX_nh4(e),fermentative,zero flux,217,
YDR256C,EX_glc(e),respiratory,zero flux,217,
YDR256C,EX_glc(e),fermentative,zero flux,217,
YDR268W,EX_nh4(e),respiratory,zero flux,1219,
YDR268W,EX_nh4(e),fermentative,zero flux,1219,
YDR268W,EX_glc(e),respiratory,zero flux,1219,
YDR268W,EX_glc(e),fermentative,zero flux,1219,
YDR272W,EX_nh4(e),respiratory,zero flux,690,
YDR272W,EX_nh4(e),fermentative,zero flux,690,
YDR272W,EX_glc(e),respiratory,zero flux,690,
YDR272W,EX_glc(e),fermentative,zero flux,690,
YDR300C,EX_nh4(e),respiratory,variable,669,
YDR300C,EX_nh4(e),fermentative,variable,669,
YDR300C,EX_glc(e),respiratory,variable,669,
YDR300C,EX_glc(e),fermentative,variable,669,
YDR305C,EX_nh4(e),respiratory,zero flux,153,
YDR305C,EX_nh4(e),fermentative,zero flux,153,
YDR305C,EX_glc(e),respiratory,zero flux,153,
YDR305C,EX_glc(e),fermentative,zero flux,153,
YDR321W,EX_nh4(e),respiratory,zero flux,170,
YDR321W,EX_nh4(e),fermentative,zero flux,170,
YDR321W,EX_glc(e),respiratory,zero flux,170,
YDR321W,EX_glc(e),fermentative,zero flux,170,
YDR341C,EX_nh4(e),respiratory,zero flux,164,
YDR341C,EX_nh4(e),fermentative,zero flux,164,
YDR341C,EX_glc(e),respiratory,zero flux,164,
YDR341C,EX_glc(e),fermentative,zero flux,164,
YDR353W,EX_nh4(e),respiratory,constrained,1207,
YDR353W,EX_nh4(e),fermentative,constrained,1207,
YDR353W,EX_glc(e),respiratory,constrained,1207,
YDR353W,EX_glc(e),fermentative,variable,1207,
YDR354W,EX_nh4(e),respiratory,constrained,151,
YDR354W,EX_nh4(e),fermentative,constrained,151,
YDR354W,EX_glc(e),respiratory,constrained,151,
YDR354W,EX_glc(e),fermentative,constrained,151,
YDR380W,EX_nh4(e),respiratory,zero flux,786,
YDR380W,EX_nh4(e),fermentative,zero flux,786,
YDR380W,EX_glc(e),respiratory,zero flux,786,
YDR380W,EX_glc(e),fermentative,zero flux,786,
YDR408C,EX_nh4(e),respiratory,constrained,640,
YDR408C,EX_nh4(e),fermentative,constrained,640,
YDR408C,EX_glc(e),respiratory,constrained,640,
YDR408C,EX_glc(e),fermentative,constrained,640,
YDR481C,EX_nh4(e),respiratory,zero flux,120,
YDR481C,EX_nh4(e),fermentative,zero flux,120,
YDR481C,EX_glc(e),respiratory,zero flux,120,
YDR481C,EX_glc(e),fermentative,zero flux,120,
YDR530C,EX_nh4(e),respiratory,zero flux,191,
YDR530C,EX_nh4(e),fermentative,zero flux,191,
YDR530C,EX_glc(e),respiratory,zero flux,191,
YDR530C,EX_glc(e),fermentative,zero flux,191,
YDR531W,EX_nh4(e),respiratory,zero flux,1033,
YDR531W,EX_nh4(e),fermentative,zero flux,1033,
YDR531W,EX_glc(e),respiratory,zero flux,1033,
YDR531W,EX_glc(e),fermentative,zero flux,1033,
YDR538W,EX_nh4(e),respiratory,zero flux,959,
YDR538W,EX_nh4(e),fermentative,zero flux,959,
YDR538W,EX_glc(e),respiratory,zero flux,959,
YDR538W,EX_glc(e),fermentative,zero flux,959,
YEL011W,EX_nh4(e),respiratory,variable,643,
YEL011W,EX_nh4(e),fermentative,variable,643,
YEL011W,EX_glc(e),respiratory,variable,643,
YEL011W,EX_glc(e),fermentative,variable,643,
YEL021W,EX_nh4(e),respiratory,constrained,957,
YEL021W,EX_nh4(e),fermentative,constrained,957,
YEL021W,EX_glc(e),respiratory,constrained,957,
YEL021W,EX_glc(e),fermentative,constrained,957,
YEL042W,EX_nh4(e),respiratory,zero flux,901,
YEL042W,EX_nh4(e),fermentative,zero flux,901,
YEL042W,EX_glc(e),respiratory,zero flux,901,
YEL042W,EX_glc(e),fermentative,zero flux,901,
YEL046C,EX_nh4(e),respiratory,zero flux,1185,
YEL046C,EX_nh4(e),fermentative,variable,1185,
YEL046C,EX_glc(e),respiratory,variable,1185,
YEL046C,EX_glc(e),fermentative,zero flux,1185,
YEL047C,EX_nh4(e),respiratory,zero flux,601,
YEL047C,EX_nh4(e),fermentative,at maximum,601,
YEL047C,EX_glc(e),respiratory,zero flux,601,
YEL047C,EX_glc(e),fermentative,at maximum,601,
YER003C,EX_nh4(e),respiratory,constrained,834,
YER003C,EX_nh4(e),fermentative,constrained,834,
YER003C,EX_glc(e),respiratory,constrained,834,
YER003C,EX_glc(e),fermentative,constrained,834,
YER014W,EX_nh4(e),respiratory,zero flux,1048,
YER014W,EX_nh4(e),fermentative,zero flux,1048,
YER014W,EX_glc(e),respiratory,zero flux,1048,
YER014W,EX_glc(e),fermentative,zero flux,1048,
YER043C,EX_nh4(e),respiratory,constrained,109,
YER043C,EX_nh4(e),fermentative,constrained,109,
YER043C,EX_glc(e),respiratory,constrained,109,
YER043C,EX_glc(e),fermentative,constrained,109,
YER052C,EX_nh4(e),respiratory,variable,180,
YER052C,EX_nh4(e),fermentative,variable,180,
YER052C,EX_glc(e),respiratory,variable,180,
YER052C,EX_glc(e),fermentative,variable,180,
YER053C,EX_nh4(e),respiratory,zero flux,1027,
YER053C,EX_nh4(e),fermentative,zero flux,1027,
YER053C,EX_glc(e),respiratory,zero flux,1027,
YER053C,EX_glc(e),fermentative,zero flux,1027,
YER055C,EX_nh4(e),respiratory,constrained,195,
YER055C,EX_nh4(e),fermentative,constrained,195,
YER055C,EX_glc(e),respiratory,constrained,195,
YER055C,EX_glc(e),fermentative,constrained,195,
YER065C,EX_nh4(e),respiratory,zero flux,773,
YER065C,EX_nh4(e),fermentative,zero flux,773,
YER065C,EX_glc(e),respiratory,zero flux,773,
YER065C,EX_glc(e),fermentative,zero flux,773,
YER086W,EX_nh4(e),respiratory,constrained,1187,
YER086W,EX_nh4(e),fermentative,constrained,1187,
YER086W,EX_glc(e),respiratory,constrained,1187,
YER086W,EX_glc(e),fermentative,constrained,1187,
YER183C,EX_nh4(e),respiratory,zero flux,605,
YER183C,EX_nh4(e),fermentative,zero flux,605,
YER183C,EX_glc(e),respiratory,zero flux,605,
YER183C,EX_glc(e),fermentative,zero flux,605,
YFL017C,EX_nh4(e),respiratory,zero flux,53,
YFL017C,EX_nh4(e),fermentative,constrained,53,
YFL017C,EX_glc(e),respiratory,zero flux,53,
YFL017C,EX_glc(e),fermentative,constrained,53,
YFL030W,EX_nh4(e),respiratory,constrained,106,
YFL030W,EX_nh4(e),fermentative,constrained,106,
YFL030W,EX_glc(e),respiratory,variable,106,
YFL030W,EX_glc(e),fermentative,constrained,106,
YFL045C,EX_nh4(e),respiratory,constrained,1028,
YFL045C,EX_nh4(e),fermentative,constrained,1028,
YFL045C,EX_glc(e),respiratory,constrained,1028,
YFL045C,EX_glc(e),fermentative,constrained,1028,
YFR025C,EX_nh4(e),respiratory,constrained,744,
YFR025C,EX_nh4(e),fermentative,constrained,744,
YFR025C,EX_glc(e),respiratory,constrained,744,
YFR025C,EX_glc(e),fermentative,constrained,744,
